"Mineral Group","STATION","MDL.x","PQL.x","SAMPLE_TYPE","COLLECT_DATE","TEST_NAME","24-Hour Sample Uncertainty","Immediate Sample Uncertainty","8-Hour Sample Uncertainty","UNITS","Value_15_min","Value_8_hour","Value_24_hour","Immediate Sample Remark","8-Hour Sample Remark","24-Hour Sample Remark","Log10 Difference (15-Min - 8-Hour)","Log10 Difference (15-Min - 24-Hour)","SQRT Difference (15-Min - 8-Hour)","SQRT Difference (15-Min - 24-Hour)","Cubic Root Difference (15-Min - 8-Hour)","Cubic Root Difference (15-Min - 24-Hour)","(15-min and 8-hour)/2","(15-min and 24-hour)/2","8-Hour Percent Error","24-Hour Percent Error","Date","Pearson Correlation 8-hour","Pearson Correlation 24-hour","Spearman Correlation 8-hour","Spearman Correlation 24-hour","8-Hour Min","8-Hour Max","8-Hour Bias","8-Hour Min Difference","8-Hour Max Difference","8-Hour Median Bias","8-Hour Mean Percent Error","8-Hour Median Percent Error","8-Hour Mean log Bias","8-Hour Uncertainty as Percent Error","8-Hour SQRT Bias","8-Hour Cubic Root Bias","8-Hour SD","8-Hour log SD","8-Hour SQRT SD","8-Hour Cubic Root SD","8-Hour LOA Lower","8-Hour LOA Upper","8-Hour LOA 2.5%","8-Hour LOA 97.5%","8-Hour LOA Log Lower","8-Hour LOA Log Upper","8-Hour LOA SQRT Lower","8-Hour LOA SQRT Upper","8-Hour LOA Cubic Root Lower","8-Hour LOA Cubic Root Upper","24-Hour Min","24-Hour Max","24-Hour Bias","24-Hour Median Bias","24-Hour Mean Percent Error","24-Hour Median Percent Error","24-Hour Uncertainty as Percent Error","24-Hour Mean log Bias","24-Hour SQRT Bias","24-Hour SD","24-Hour log SD","24-Hour LOA Lower","24-Hour LOA Upper","24-Hour LOA 2.5%","24-Hour LOA 97.5%","24-Hour LOA Log Lower","24-Hour LOA Log Upper","8-Hour Precision","24-Hour Precision","SE 8-Hour Bias","SE 24-Hour Bias","SE 8-Hour LOA","SE 24-Hour LOA","8-Hour Bias 95% Upper CI","8-Hour Bias 95% Lower CI","24-Hour Bias 95% Upper CI","24-Hour Bias 95% Lower CI","8-Hour 95% Upper CI Top","8-Hour 95% Upper CI Bottom","8-Hour 95% Lower CI Top","8-Hour 95% Lower CI Bottom","24-Hour 95% Upper CI Top","24-Hour 95% Upper CI Bottom","24-Hour 95% Lower CI Top","24-Hour 95% Lower CI Bottom","8-Hour Bias CI","24-Hour Bias CI","8-Hour Shapiro Wilks","24-Hour Shapiro Wilks","8-Hour Skewness","24-Hour Skewness","8-Hour Kurtosis","24-Hour Kurtosis","MDL.y","PQL.y","Mean Uncertainty","8-Hour Wilcox Ranked Sign","24-Hour Wilcox Ranked Sign","8-Hour Exceedences","24-Hour Exceedences","8-Hour Inside Line of Equality","24-Hour Inside Line of Equality","Nonparametric 8-Hour LOA Lower","Nonparametric 8-Hour LOA Upper","Nonparametric 24-Hour LOA Lower","Nonparametric 24-Hour LOA Upper","Nonparameteric 8-hour Bias","Nonparameteric 24-hour Bias","Nonparameteric 8-Hour Precision","Nonparameteric 24-Hour Precision","Preservation Time","Difference"
"Low Mineral Group","ST34C3B_B7",0.002,0.004,"SURFACE WATER",2018-11-13 11:21:00,"NO2",0.002,0.002,0.002,"mg/L",0.004,0.004,0.004,"I","I","I",0,0,0,0,0,0,0.004,0.004,0,0,2018-11-13,0.7073,0.7584,0.7712,0.7422,0.002,0.008,0.0001,-0.004,0.002,0,13.468,0,1.0239,74.6759,0.0006,0.0011,0.0011,0.1281,0.0086,0.0147,-0.0021,0.0022,-66.6667,66.6667,0.5744,1.8254,-0.0163,0.0175,-0.0277,0.0299,0.002,0.006,0.0001,0,13.468,0,73.9815,1.0239,0.0008,0.001,0.1281,-0.0018,0.0021,-66.6667,66.6667,0.5744,1.8254,"+/- 0.00215","+/- 0.00196",0.0002,0.0002,0.0096,0.0091,0.0005,-0.0003,0.0004,-0.0002,0.0216,-0.0172,0.0173,-0.0215,0.0206,-0.0165,0.0167,-0.0204,"-0.0002 to 0.0005","-0.0002 to 0.0004",0,0,-1.3969,-0.2171,7.9709,4.7544,0.002,0.004,0.002,0.7551,0.6364,1,0,"Inside","Inside",-0.002,0.002,-0.002,0.002,0,0,"+/- 0.002","+/- 0.002","Difference (15-Min - 8-Hour)",0
"Low Mineral Group","ST34C3B_B7",0.005,0.01,"SURFACE WATER",2018-11-13 11:21:00,"NOX",0.005,0.005,0.005,"mg/L",0.005,0.01,0.005,"U","I,G","I,G",-0.301029995663981,0,-0.0292893218813453,0,-0.0444458743355187,0,0.0075,0.005,-66.6666666666667,0,2018-11-13,0.9995,0.9994,0.9846,0.9974,0.005,0.272,0.0002,-0.005,0.012,0,4.1645,0,0.9798,56.5622,-0.0008,-0.0013,0.0031,0.0562,0.0068,0.0092,-0.0059,0.0063,-21.7949,7.0378,0.7603,1.2627,-0.0141,0.0125,-0.0194,0.0167,0.005,0.281,-0.0006,0,3.6459,0,57.5367,0.9795,-0.0018,0.002,0.0331,-0.0045,0.0034,-22.3856,6.4222,0.8436,1.1373,"+/- 0.0061","+/- 0.00392",0.0005,0.0003,0.0161,0.0129,0.0012,-0.0008,0.0001,-0.0013,0.0389,-0.0263,0.0267,-0.0385,0.0296,-0.0228,0.0217,-0.0307,"-0.0013 to 0.0012","-0.0013 to 0.0001",0,0,2.2742,-1.1841,10.0159,4.7565,0.005,0.01,0.0061,0.7258,0.1955,0,3,"Inside","Inside",-0.004,0.01,-0.006,0.003,0,0,"+/- 0.007","+/- 0.0045","Difference (15-Min - 8-Hour)",-0.005
"Low Mineral Group","ST34C3B_B7",0.002,0.008,"SURFACE WATER",2018-11-13 11:21:00,"OPO4",0.002,0.002,0.002,"mg/L",0.002,0.002,0.002,"U","U","U",0,0,0,0,0,0,0.002,0.002,0,0,2018-11-13,1,0.9999,1,0.9997,0.002,0.126,-0.0001,-0.001,0.001,0,1.2905,0,0.9916,75.6198,-0.0004,-0.0006,0.0004,0.0153,0.0018,0.0025,-0.0009,0.0007,-11.7647,1,0.9254,1.0625,-0.0039,0.0031,-0.0055,0.0043,0.002,0.126,-0.0001,0,0.6625,0,75.6638,0.9934,-0.0004,0,0.0162,-0.0001,-0.0001,-4.2005,0,0.9233,1.0687,"+/- 0.0008","+/- 0",0.0001,0,0.0058,0,0,-0.0002,-0.0001,-0.0001,0.0124,-0.011,0.0108,-0.0126,-0.0001,-0.0001,-0.0001,-0.0001,"-0.0001 to 0","-0.0001 to -0.0001",0,NA,-1.0384,-3.8806,6.7064,16.0588,0.002,0.008,0.0026,0.2031,0.3711,0,0,"Inside","Outside",-0.001,0,-0.002,0,0,0,"+/- 0.0005","+/- 0.001","Difference (15-Min - 8-Hour)",0
"Low Mineral Group","ST34C3B_B7",0.05,0.2,"SURFACE WATER",2018-11-13 11:21:00,"SIO2",0.55,0.55,0.55,"mg/L",10.4,10.3,10.3,NA,NA,NA,0.00419611459360869,0.00419611459360869,0.0155417921431775,0.0155417921431775,0.00701865220509079,0.00701865220509079,10.35,10.35,0.966183574879227,0.966183574879227,2018-11-13,0.9993,0.9992,0.9936,0.9961,8.66,16.2,0.0264,-0.2,0.3,0,0.7073,0.6542,1.0025,5.322,0.004,0.0018,0.1065,0.004,0.0156,0.007,-0.1824,0.2351,-1.1296,2.0361,0.9846,1.0208,-0.0265,0.0346,-0.0119,0.0155,8.61,16.2,0.0469,0.1,0.785,0.1115,5.3216,1.0046,0.0073,0.119,0.0044,-0.1863,0.2802,-1.3902,2.0678,0.9849,1.0248,"+/- 0.20875","+/- 0.23324",0.0177,0.0198,0.0942,0.0996,0.0624,-0.0096,0.0872,0.0066,0.4263,0.0439,0.0088,-0.3736,0.4823,0.078,0.0159,-0.3884,"0.0066 to 0.0624","0.0066 to 0.0872",0.0979,0.03,0.3216,-0.4577,2.9884,3.913,0.05,0.2,0.6453,0.1505,0.0117,0,0,"Inside","Outside",-0.1,0.2,-0.2,0.2,0,0.01,"+/- 0.15","+/- 0.2","Difference (15-Min - 8-Hour)",0.1
"Low Mineral Group","ST34C3B_B7",0.1,0.4,"SURFACE WATER",2018-11-13 11:21:00,"SO4",0.9,0.8,0.8,"mg/L",21,21.1,24.8,NA,NA,NA,-0.00206316056377354,-0.0722323860922964,-0.0108979361865007,-0.397384144239653,-0.00437231187350751,-0.157275295272303,21.05,22.9,-0.475059382422803,-16.5938864628821,2018-11-13,0.998,0.9945,0.985,0.9667,18.8,66.6,-0.0861,-2.9,1.1,0.1,1.8181,0.4935,0.9932,3.6691,-0.013,-0.0056,0.8852,0.0168,0.092,0.0364,-1.8211,1.6489,-12.5572,2.4472,0.9207,1.0714,-0.1933,0.1673,-0.077,0.0657,18.5,66.5,-0.3083,0.2,3.4759,0.207,3.7154,0.9831,-0.0369,1.476,0.0273,-3.2013,2.5846,-16.4952,4.4559,0.8691,1.112,"+/- 1.735","+/- 2.89296",0.1475,0.246,0.2716,0.3507,0.2134,-0.3856,0.1911,-0.8077,2.2002,1.0976,-1.2698,-2.3724,3.2966,1.8727,-2.4893,-3.9132,"-0.8077 to 0.2134","-0.8077 to 0.1911",0,0,-2.3686,-1.4619,8.0745,3.9146,0.1,0.4,1.2083,0.2207,0.4535,4,8,"Inside","Inside",-2.9,0.7,-3.8,1.4,0.1,0.1,"+/- 1.8","+/- 2.6","Difference (15-Min - 8-Hour)",-0.1
"Low Mineral Group","ST34C3B_B7",0.02,0.08,"SURFACE WATER",2018-11-13 11:21:00,"TDN",0.117,0.113,0.118,"mg/L",1.33,1.38,1.37,NA,NA,NA,-0.0160274454341507,-0.0128689261893209,-0.0214777529799934,-0.0172137316048828,-0.013611832634685,-0.0109160925904055,1.355,1.35,-3.690036900369,-2.96296296296296,2018-11-13,0.9968,0.993,0.9854,0.967,1.31,2.47,0.0008,-0.08,0.06,0,1.2384,1.0823,1.0007,8.484,0.0004,0.0002,0.0286,0.0075,0.011,0.0068,-0.0552,0.0569,-3.8499,2.6133,0.9674,1.0351,-0.0212,0.0219,-0.0131,0.0136,1.37,2.53,-0.0222,0.03,1.9767,-1.0101,8.4758,0.9873,-0.0084,0.042,0.011,-0.1045,0.0601,-5.81,3.3511,0.9395,1.0375,"+/- 0.05605","+/- 0.08232",0.0048,0.007,0.0488,0.0592,0.0105,-0.0089,-0.008,-0.0364,0.156,-0.0422,0.0439,-0.1543,0.1802,-0.06,0.0156,-0.2246,"-0.0364 to 0.0105","-0.0364 to -0.008",0.0414,0.0048,-0.7892,-1.0927,3.7705,7.1062,0.02,0.08,0.1521,0.7163,0.0029,0,1,"Inside","Outside",-0.06,0.04,-0.07,0.05,0,-0.02,"+/- 0.05","+/- 0.06","Difference (15-Min - 8-Hour)",-0.05
"Low Mineral Group","ST34C3B_B7",0.002,0.004,"SURFACE WATER",2018-11-13 11:21:00,"TDPO4",0.002,0.002,0.002,"mg/L",0.009,0.009,0.009,NA,NA,NA,0,0,0,0,0,0,0.009,0.009,0,0,2018-11-13,0.9998,0.9998,0.9723,0.9762,0.004,0.143,-0.0007,-0.003,0.002,-0.001,6.3379,1.7693,0.9516,22.4365,-0.0025,-0.0036,0.001,0.0421,0.0044,0.0065,-0.0026,0.0013,-29.4118,8.3072,0.7869,1.1507,-0.0112,0.0061,-0.0163,0.0092,0.004,0.145,-0.0008,0.0005,5.3016,0,23.756,0.987,-0.0015,0.002,0.041,-0.0047,0.0032,-17.8733,18.1818,0.8203,1.1876,"+/- 0.00195","+/- 0.00392",0.0002,0.0003,0.0091,0.0129,-0.0004,-0.001,-0.0001,-0.0015,0.0198,-0.0172,0.0159,-0.0211,0.0294,-0.023,0.0215,-0.0309,"-0.0015 to -0.0004","-0.0015 to -0.0001",0.0014,0,-0.2037,-1.1448,3.7037,3.4985,0.002,0.004,0.0028,0.001,0.0059,1,1,"Outside","Outside",-0.003,0.001,-0.004,0.001,-0.001,0,"+/- 0.002","+/- 0.0025","Difference (15-Min - 8-Hour)",0
"Low Mineral Group","ST34C3B_B7",0.008,0.000016,"SURFACE WATER",2018-11-13 11:21:00,"TDSAL",0.008,0.008,0.008,"ug/L",0.009,0.008,0.009,"I","I","I",0.0511525224473813,0,0.00542561070505979,0,0.00800838230519041,0,0.0085,0.009,11.7647058823529,0,2018-11-13,0.2385,0.2034,0.5373,0.6495,0.008,0.012,0.0002,-0.002,0.011,0,5.2225,0,1.0141,96.1841,0.0008,0.0011,0.002,0.0694,0.0088,0.0122,-0.0037,0.0041,-18.4091,20.4793,0.7414,1.3871,-0.0164,0.0181,-0.0228,0.025,0.008,0.012,0.0003,0,4.8618,0,97.5309,1.0297,0.0015,0.002,0.0695,-0.0036,0.0043,-11.1801,29.6296,0.7525,1.4091,"+/- 0.0039","+/- 0.00392",0.0003,0.0003,0.0129,0.0129,0.0009,-0.0005,0.001,-0.0004,0.0303,-0.0221,0.0225,-0.0299,0.0305,-0.022,0.0226,-0.0298,"-0.0004 to 0.0009","-0.0004 to 0.001",0,0,4.8033,4.5592,27.589,26.2254,0.008,0,0.008,0.7596,0.4974,1,1,"Inside","Inside",-0.002,0.001,-0.001,0.002,0,0,"+/- 0.0015","+/- 0.0015","Difference (15-Min - 8-Hour)",0.001
"Low Mineral Group","ST34C3B_B7",0.003,0.000006,"SURFACE WATER",2018-11-13 11:21:00,"TDSFE",0.003,0.003,0.003,"ug/L",0.003,0.003,0.003,"I","I","I",0,0,0,0,0,0,0.003,0.003,0,0,2018-11-13,0.6101,0.7628,0.6295,0.6976,0.003,0.012,-0.0005,-0.007,0.007,0,19.8551,0,0.9038,77.0833,-0.0035,-0.0057,0.002,0.1533,0.0129,0.0204,-0.0044,0.0034,-68.6275,48.4615,0.4525,1.8053,-0.0288,0.0218,-0.0457,0.0343,0.003,0.009,0.0002,0,10.3177,0,85.2083,1.0268,0.001,0.001,0.1089,-0.0018,0.0021,-28.5714,57.2115,0.6281,1.6786,"+/- 0.0039","+/- 0.00196",0.0003,0.0002,0.0129,0.0091,0.0002,-0.0012,0.0005,-0.0001,0.0296,-0.0228,0.0218,-0.0306,0.0207,-0.0164,0.0167,-0.0203,"-0.0001 to 0.0002","-0.0001 to 0.0005",0,0,0.449,3.5417,9.7787,18.9579,0.003,0,0.003,0.0392,0.6908,2,1,"Inside","Inside",-0.003,0.002,-0.001,0.002,0,0,"+/- 0.0025","+/- 0.0015","Difference (15-Min - 8-Hour)",0
"Low Mineral Group","ST34C3B_B7",0.02,0.08,"SURFACE WATER",2018-11-13 11:21:00,"TN",0.11,0.11,0.111,"mg/L",1.45,1.46,1.45,NA,NA,NA,-0.00298485354946232,0,-0.00414513948022766,0,-0.00259599807533095,0,1.455,1.45,-0.687285223367698,0,2018-11-13,0.9959,0.9982,0.9912,0.9918,1.38,3.06,0.0158,-0.08,0.19,0.02,1.8049,1.2628,1.008,7.6333,0.0056,0.0033,0.0466,0.0097,0.0157,0.0093,-0.0755,0.1072,-2.5082,5.6824,0.9648,1.0531,-0.0252,0.0363,-0.0149,0.0215,1.45,3.27,-0.0094,0.02,1.2445,-0.1653,7.5755,0.9947,-0.0035,0.031,0.0074,-0.0702,0.0513,-3.9158,1.9609,0.962,1.0284,"+/- 0.09135","+/- 0.06076",0.0078,0.0052,0.0623,0.0508,0.0316,0,0.0011,-0.0199,0.2337,-0.0193,0.051,-0.202,0.1545,-0.0519,0.033,-0.1734,"-0.0199 to 0.0316","-0.0199 to 0.0011",0.0027,0.1431,1.2841,-0.3174,6.8236,2.6789,0.02,0.08,0.1532,0.0568,0.136,0,0,"Inside","Inside",-0.04,0.08,-0.07,0.04,0.02,-0.005,"+/- 0.06","+/- 0.055","Difference (15-Min - 8-Hour)",-0.01
"Low Mineral Group","ST34C3B_B7",0.8,2,"SURFACE WATER",2018-11-13 11:21:00,"TOC",1.9,1.9,1.9,"mg/L",23.6,23.5,23.2,NA,NA,NA,0.00184414069837047,0.0074240180792069,0.0103032631801181,0.0413452890795289,0.00405712604302577,0.0162979897494271,23.55,23.4,0.424628450106157,1.70940170940171,2018-11-13,0.9912,0.9911,0.9789,0.9569,21.9,38.7,-0.1972,-2.5,0.6,0,1.5402,0.8136,0.994,8.0149,-0.0171,-0.0064,0.7109,0.0096,0.0622,0.0233,-1.5906,1.1961,-5.4899,2.0226,0.9519,1.0381,-0.139,0.1048,-0.052,0.0393,23.1,37.5,-0.075,0.5,1.9942,0.3184,8.0608,0.9972,-0.0073,0.67,0.0106,-1.3882,1.2382,-5.7806,3.1351,0.9506,1.046,"+/- 1.39335","+/- 1.3132",0.1185,0.1117,0.2434,0.2363,0.0433,-0.4377,0.1517,-0.3017,1.6902,0.702,-1.0965,-2.0847,1.7179,0.7585,-0.9085,-1.8679,"-0.3017 to 0.0433","-0.3017 to 0.1517",0,0.0817,-1.6105,-0.4388,5.2224,2.2179,0.8,2,2.2667,0.5239,0.6463,0,0,"Inside","Inside",-2,0.6,-1.4,0.8,0,0.1,"+/- 1.3","+/- 1.1","Difference (15-Min - 8-Hour)",0.1
"Low Mineral Group","ST34C3B_B7",0.002,0.004,"SURFACE WATER",2018-11-13 11:21:00,"TPO4",0.002,0.002,0.002,"mg/L",0.018,0.019,0.018,NA,NA,NA,-0.0234810958495228,0,-0.00367640887091483,0,-0.00476602545130483,0,0.0185,0.018,-5.40540540540541,0,2018-11-13,0.9991,0.9998,0.9951,0.9866,0.006,0.205,0,-0.008,0.012,0,3.1855,1.3262,0.9954,12.2027,-0.0003,-0.0004,0.0027,0.0223,0.0042,0.0047,-0.0053,0.0053,-14.4231,7.5684,0.9001,1.1008,-0.0085,0.008,-0.0096,0.0089,0.006,0.217,0.0003,0.0005,4.0455,0,12.5092,1.0146,0.001,0.001,0.0361,-0.0016,0.0023,-8.9231,28.5714,0.8621,1.1942,"+/- 0.0053","+/- 0.00196",0.0005,0.0002,0.015,0.0091,0.0009,-0.0009,0.0006,0,0.0357,-0.0251,0.0251,-0.0357,0.0208,-0.0162,0.0169,-0.0202,"0 to 0.0009","0 to 0.0006",0,0,1.7747,1.2499,14.1694,4.0905,0.002,0.004,0.0041,0.7158,0.151,0,2,"Inside","Inside",-0.003,0.002,-0.001,0.003,0,0,"+/- 0.0025","+/- 0.002","Difference (15-Min - 8-Hour)",-0.001
"Low Mineral Group","ST34C3B_D7",0.3,1.2,"SURFACE WATER",2018-11-13 13:25:00,"CA",2.8,2.5,2.6,"mg/L",28.7,29,31.4,NA,NA,NA,-0.00451610116496415,-0.0390477513392229,-0.0279267127429543,-0.24633219605721,-0.0106309390721937,-0.0931483802624751,28.85,30.05,-1.03986135181976,-8.98502495840266,2018-11-13,0.9969,0.9932,0.9799,0.9806,29,82.2,0.0361,-3.7,2.2,0,1.468,1.0786,1.0023,8.8299,0.0054,0.0022,1.2257,0.0088,0.0772,0.026,-2.3663,2.4385,-3.8486,3.3499,0.9633,1.0429,-0.1459,0.1568,-0.0487,0.0532,31.4,82.8,0.0083,1.2,2.2746,0.1531,8.7936,0.9991,-0.001,1.709,0.0129,-3.3413,3.358,-6.8486,4.9078,0.9426,1.059,"+/- 2.4024","+/- 3.34964",0.2043,0.2848,0.3196,0.3774,0.4508,-0.3786,0.5865,-0.5699,3.0873,1.7897,-1.7175,-3.0151,4.1241,2.5919,-2.5752,-4.1074,"-0.5699 to 0.4508","-0.5699 to 0.5865",0.0701,0.6572,-0.8068,-0.2888,4.3858,3.2999,0.3,1.2,5.8639,0.626,0.8313,0,1,"Inside","Inside",-2.9,1.9,-2.9,2.8,0,0.1,"+/- 2.4","+/- 2.85","Difference (15-Min - 8-Hour)",-0.3
"Low Mineral Group","ST34C3B_D7",0.1,0.4,"SURFACE WATER",2018-11-13 13:25:00,"CL",3.3,3,3.3,"mg/L",63.2,69.4,70.1,NA,NA,NA,-0.0406423921724706,-0.0450009396842743,-0.380823474122695,-0.422731509833075,-0.126212992100124,-0.139983480247336,66.3,66.65,-9.35143288084464,-10.3525881470368,2018-11-13,0.9968,0.9959,0.9836,0.9827,59.6,169,-0.0056,-6.9,6,0.05,2.1796,1.2422,0.9965,4.6816,-0.0082,-0.0034,3.1192,0.0144,0.1575,0.0494,-6.1192,6.1081,-9.3681,4.7291,0.9338,1.0634,-0.3169,0.3005,-0.1003,0.0934,65.4,167,-0.3389,1,2.8297,-0.3659,4.6867,0.9893,-0.0342,3.783,0.0192,-7.7536,7.0758,-9.8219,6.3889,0.9072,1.0788,"+/- 6.11365","+/- 7.41468",0.5199,0.6305,0.5098,0.5615,1.0497,-1.0609,0.941,-1.6188,7.1431,5.0731,-5.0842,-7.1542,8.2156,5.936,-6.6138,-8.8934,"-1.6188 to 1.0497","-1.6188 to 0.941",0.0804,0.001,0.0646,0.3397,3.0262,3.3058,0.1,0.4,4.9167,0.8249,0.1912,3,9,"Inside","Inside",-6.2,6,-6.9,8,0.05,-0.3,"+/- 6.1","+/- 7.45","Difference (15-Min - 8-Hour)",-6.2
"Low Mineral Group","ST34C3B_D7",1,4,"SURFACE WATER",2018-11-13 13:25:00,"COLOR",12,13,13,"PCU",71,71,70,NA,NA,NA,0,0.00616030870481854,0,0.0595495078356034,0,0.0195324496142968,71,70.5,0,1.41843971631206,2018-11-13,0.9938,0.9926,0.9798,0.9791,56,93,-0.5278,-5,2,0,1.1868,1.2147,0.9931,17.7469,-0.0301,-0.0097,1.2302,0.0071,0.0702,0.0228,-2.939,1.8834,-3.5595,1.7984,0.9618,1.0254,-0.1677,0.1075,-0.0544,0.0349,56,92,-0.25,1,1.3324,0,17.7968,0.9965,-0.0148,1.273,0.0081,-2.7451,2.2451,-4.3234,3.2899,0.9607,1.0336,"+/- 2.4112","+/- 2.49508",0.205,0.2122,0.3202,0.3257,-0.1116,-0.944,0.1807,-0.6807,2.5334,1.2334,-2.289,-3.589,2.9063,1.5839,-2.0839,-3.4063,"-0.6807 to -0.1116","-0.6807 to 0.1807",0.0005,0.0284,-1.1491,0.1421,6.2582,3.4843,1,4,12.75,0.0148,0.2536,0,0,"Outside","Inside",-2,1,-3,2,0,0,"+/- 1.5","+/- 2.5","Difference (15-Min - 8-Hour)",0
"Low Mineral Group","ST34C3B_D7",0.8,2,"SURFACE WATER",2018-11-13 13:25:00,"DOC",2,2,1.9,"mg/L",24.4,24,25.2,NA,NA,NA,0.00717858462712329,-0.0140107144428141,0.0406561285250318,-0.0803245451130659,0.015936782756695,-0.0313584943849636,24.2,24.8,1.65289256198347,-3.2258064516129,2018-11-13,0.9846,0.9931,0.9771,0.957,21.8,38.2,-0.1083,-2.8,1.6,0.1,1.8869,1.3087,0.997,7.8644,-0.009,-0.0033,0.9126,0.012,0.0791,0.0295,-1.897,1.6804,-7.541,3.3495,0.9445,1.0525,-0.164,0.1461,-0.0611,0.0545,21.5,36.7,-0.1972,0.4,1.7704,-0.6473,7.8748,0.992,-0.0199,0.592,0.0093,-1.3575,0.9631,-4.3224,3.4619,0.9512,1.0345,"+/- 1.7887","+/- 1.16032",0.1521,0.0987,0.2758,0.2221,0.2005,-0.4171,0.0031,-0.3975,2.2402,1.1206,-1.3372,-2.4568,1.414,0.5122,-0.9067,-1.8084,"-0.3975 to 0.2005","-0.3975 to 0.0031",0.0001,0.6352,-1.5088,0.3335,5.6884,2.9449,0.8,2,2.1778,0.8791,0.0385,2,0,"Inside","Inside",-2.7,1.1,-1.1,1.1,0.1,-0.2,"+/- 1.9","+/- 1.1","Difference (15-Min - 8-Hour)",0.4
"Low Mineral Group","ST34C3B_D7",0.1,0.4,"SURFACE WATER",2018-11-13 13:25:00,"K",0.5,0.5,0.5,"mg/L",6.2,6.2,6.6,NA,NA,NA,0,-0.0271522460436149,0,-0.0790665961352794,0,-0.0386869053526757,6.2,6.4,0,-6.25,2018-11-13,0.9971,0.9938,0.9807,0.9779,5.5,10.7,-0.0083,-0.4,0.2,0,1.1841,1.2659,0.9991,8.0668,-0.0014,-0.0006,0.1251,0.0071,0.0225,0.0107,-0.2535,0.2369,-3.0145,2.8968,0.9676,1.0317,-0.0455,0.0427,-0.0216,0.0203,5.5,10.6,-0.0361,0.1,1.7462,0,7.946,0.994,-0.0074,0.187,0.0105,-0.4026,0.3304,-5.1201,4.107,0.948,1.0423,"+/- 0.2452","+/- 0.36652",0.0208,0.0312,0.1021,0.1248,0.034,-0.0506,0.0272,-0.0994,0.4442,0.0296,-0.0462,-0.4608,0.5838,0.077,-0.1492,-0.656,"-0.0994 to 0.034","-0.0994 to 0.0272",0.0031,0.0871,-0.4635,0.511,4.1108,3.6799,0.1,0.4,0.6361,0.9782,0.2238,0,0,"Inside","Inside",-0.2,0.2,-0.3,0.3,0,0,"+/- 0.2","+/- 0.3","Difference (15-Min - 8-Hour)",0
"Low Mineral Group","ST34C3B_D7",0.1,0.4,"SURFACE WATER",2018-11-13 13:25:00,"MG",0.8,0.8,0.8,"mg/L",11.2,11.2,11.9,NA,NA,NA,0,-0.0263289387223491,0,-0.102997555995766,0,-0.0456733297897332,11.2,11.55,0,-6.06060606060606,2018-11-13,0.9991,0.9981,0.993,0.982,11,34.1,0.0139,-0.8,0.7,0.1,1.3028,0.8904,1.0021,7.0449,0.0029,0.0014,0.3296,0.0071,0.0355,0.0144,-0.6321,0.6599,-3.0527,3.1808,0.9705,1.0348,-0.0667,0.0725,-0.0268,0.0296,11.2,34.4,0.0306,0.3,1.7255,0,7.0581,0.9992,0.001,0.485,0.0107,-0.92,0.9812,-6.1212,4.3275,0.9521,1.0487,"+/- 0.646","+/- 0.9506",0.0549,0.0808,0.1657,0.201,0.1254,-0.0976,0.1947,-0.1335,0.9963,0.3235,-0.2957,-0.9685,1.3893,0.573,-0.5119,-1.3282,"-0.1335 to 0.1254","-0.1335 to 0.1947",0.1656,0.0497,-0.5562,0.8968,3.1628,4.3453,0.1,0.4,1.5639,0.5379,0.8004,0,0,"Inside","Inside",-0.7,0.5,-0.7,1.1,0.1,0,"+/- 0.6","+/- 0.9","Difference (15-Min - 8-Hour)",0
"Low Mineral Group","ST34C3B_D7",0.4,1.6,"SURFACE WATER",2018-11-13 13:25:00,"NA",3.1,2.8,2.8,"mg/L",38.3,38.7,41.8,NA,NA,NA,-0.00451219105028855,-0.0379775078064126,-0.032233027291996,-0.276592571391525,-0.0116941076470978,-0.0997008313876631,38.5,40.05,-1.03896103896104,-8.73907615480649,2018-11-13,0.9991,0.998,0.9898,0.9837,37,112.6,0.0167,-2.5,2.6,0,1.3556,1.0285,1.0011,7.3254,0.0024,0.001,1.2075,0.0082,0.0727,0.0243,-2.35,2.3834,-3.6651,3.381,0.9647,1.0388,-0.1401,0.1449,-0.0466,0.0486,37,113.6,-0.0472,1.05,2.0962,-0.129,7.3224,0.9973,-0.0065,1.76,0.012,-3.4968,3.4024,-6.8414,4.3391,0.9447,1.0528,"+/- 2.3667","+/- 3.4496",0.2013,0.2933,0.3172,0.383,0.4252,-0.3918,0.5483,-0.6427,3.0273,1.7395,-1.7061,-2.9939,4.1798,2.6249,-2.7194,-4.2743,"-0.6427 to 0.4252","-0.6427 to 0.5483",0.5517,0.8333,0.2143,0.2233,2.898,3.1348,0.4,1.6,5.0389,0.9455,0.857,0,1,"Inside","Inside",-1.9,2.4,-3.2,2.6,0,-0.05,"+/- 2.15","+/- 2.9","Difference (15-Min - 8-Hour)",-0.4
